id,originX,originY,destX,destY,lambda,Pw,Lw,ew
576,160,115,108,73,0.2,0.998886,91.653,80.566
577,2,143,116,64,0.2,0.999999,186.996,161.942
578,105,131,117,103,0.2,0.98984,40.4611,25.8584
579,162,118,95,105,0.2,0.995431,78.0418,68.8098
580,95,74,73,81,0.2,0.84989,28.8194,17.0892
581,158,4,105,77,0.2,0.999995,123.539,114.29
582,87,13,97,104,0.2,0.980641,99.5532,83.5392
583,77,138,80,70,0.2,0.896884,70.813,46.419
584,131,124,109,113,0.2,0.98309,32.9795,27.1204
585,61,122,112,100,0.2,0.991348,71.7769,48.1001
586,176,74,105,62,0.2,0.913301,81.0326,53.6575
587,98,46,112,119,0.2,0.996268,86.337,71.1113
588,164,34,60,91,0.2,0.999227,158.189,141.419
589,115,107,83,102,0.2,0.961675,36.6007,28.3641
590,48,163,80,69,0.2,0.997388,123.462,92.4471
591,34,7,104,99,0.2,1,158.831,135.623
592,95,154,70,83,0.2,0.999661,93.8787,77.4428
593,73,94,99,111,0.2,0.94511,42.5554,32.5332
594,149,115,88,71,0.2,0.999979,101.996,79.5714
595,4,159,119,62,0.2,1,205.04,164.816
596,172,165,109,87,0.2,0.999963,137.815,118.643
597,70,45,109,76,0.2,0.998784,69.3613,57.2215
598,169,126,113,75,0.2,0.994546,104.183,84.5751
599,78,156,82,98,0.2,0.994724,60.5125,56.8158
600,39,160,102,76,0.2,0.999833,143.309,104.569
601,85,3,109,118,0.2,0.999754,137.019,112.969
602,148,19,80,81,0.2,0.999836,126.85,111.82
603,136,43,70,110,0.2,0.999977,127.456,89.967
604,148,86,70,118,0.2,0.993647,107.504,87.5357
605,54,21,67,89,0.2,0.999619,79.5605,68.4532
606,68,170,63,104,0.2,0.985815,69.8367,53.5615
607,120,49,69,64,0.2,0.999403,65.3263,57.7037
608,2,7,116,75,0.2,1,178.012,163.192
609,156,143,82,73,0.2,0.999965,140.469,111.141
610,71,149,80,75,0.2,0.873834,82.6594,58.1992
611,147,92,63,98,0.2,0.909786,88.6062,64.7802
612,78,158,93,65,0.2,0.985998,106.021,75.4222
613,16,56,105,93,0.2,0.999869,123.486,100.924
614,104,33,60,75,0.2,0.958604,84.9024,66.1812
615,6,22,64,119,0.2,0.997496,151.889,131.7
616,110,138,77,77,0.2,0.991017,92.0838,57.27
617,13,105,97,87,0.2,0.984376,99.4449,76.0682
618,126,114,97,73,0.2,0.994605,70.3225,56.1916
619,160,43,62,85,0.2,0.999574,137.295,117.609
620,164,157,83,111,0.2,0.999999,124.736,80.9124
621,54,173,114,84,0.2,0.999999,145.641,117.685
622,93,114,116,87,0.2,0.982866,50.0701,33.0115
623,71,124,61,88,0.2,0.702039,45.7578,23.905
624,53,1,80,100,0.2,0.999992,123.22,103.125
625,174,148,70,72,0.2,0.999996,176.406,136.003
626,127,112,87,106,0.2,0.894838,45.1436,36.4293
627,10,7,113,117,0.2,1,209.705,180.088
628,152,53,60,64,0.2,0.935757,100.805,80.098
629,179,179,104,81,0.2,0.999997,169.921,140.198
